arouse	вызывать, пробуждать	Something aroused their interest.
otherwise	иначе, иным образом	I could not have done otherwise.
damn	проклятый, проклинать	Stand here and guard the damn gates.
perhaps	возможно	Perhaps this time I will win.
junior	младший	I received a junior ranger certificate and a badge.
district	район, округ и т. п.	She lives in the Forest Park district in Springfield.
take part	принимать участие	Would you like to take part in the Redneck Games?
eligible	имеющий право	Only colored people are eligible for BET awards.
hazard	опасность, риск, угроза	There is a hazard of electrical shock.
strike	забастовка	The train is not coming, the railwaymen are on strike.
feed (fed, fed)	кормить	Don't feed the monkeys? Why?
supply	поставлять, поставка	As banana supply was restored, prices fell.
poor	бедный	Alas, poor Yorick! I knew him. ©
convince	убеждать	It was not true but it sounded convincing.
tie	галстук, завязка и т.п.	In fact, cats don't like ties that much.
escape	избежать, спастись	We escaped, and they didn't, ha ha.
mine	мина	We can use the old German naval mine.
let smb in	впустить	Who let this cat in?
pour	лить	Then I pour the liquid gold into bar molds.
expect	ожидать (события)	I expect the fish to bite as usual.
within	в пределах, внутри	Mars is within our reach now.
confer	совещаться	The President conferred with his advisor.
nest	гнездо, гнездиться	Now storks nest on its roof.
board	доска	Is it a cutting board or purely decorative?
core	ядро, сердцевина, сущность	The core of avocado is good for health.
apply	обращаться (с заявлением)	To apply for a visa, you need the following.
combat	бой	Who do you think will win the combat?
loan	заём, ссуда	They granted illegal loans.
council	совет (орган)	He is a member of Her Majesty's Privy Council.
flaw	изъян	Even diamonds have flaws.
wealth	богатство	I wasn't ready for the wealth that fell upon me.
employ	нанимать на работу	We employ mostly immigrants from Asia.
drive (drove, driven)	двигать, гнать	Life drove me into a corner. I have nothing to lose.
eat up	съесть полностью	They ate up everything and left me nothing.
attitude	отношение	What's your attitude to vegetarianism?
software	программое обеспечение	Hi, I'm Arkady. I'm a software developer.
chase	погоня, гнаться	Johnny snapped a cheetah chasing rabbit.
infant	ребёнок	He abandoned us when I was just an infant.
allege	утверждать, приписывать	He alleges that God is angry at humanity.
bond	обязательство, облигация	Bonds are issued by states and corporations.
trunk	багажник	We have to examine the trunk.
item	пункт, номер, предмет	This item is unnecessary. Cross it out.
